delta;t_regular_lambda_re;t_regular_lambda_im;r_regular_lambda_re;r_regular_lambda_im;t_random_lambda_re;t_random_lambda_im;r_random_lambda_re;r_random_lambda_im;t_regular_dualv_re;t_regular_dualv_im;r_regular_dualv_re;r_regular_dualv_im;t_random_dualv_re;t_random_dualv_im;r_random_dualv_re;r_random_dualv_im
0.017219999999999999;0.042653986550503363;-0.90537181481787898;0.22801478700957117;0.011281869812939119;-0.080664537872222442;-0.92060341854859151;0.11268351683951945;-0.0043860659078324695;0.042653986550310129;-0.90537181481303686;0.22803353820432665;0.010889196060545149;0.038650388208601789;-0.90519818523663143;0.22796559895711777;0.010560635715930845
0.017223999999999996;0.043351137385665546;-0.90534515973674845;0.22795703269671536;0.011442381729587579;-0.079903376896127268;-0.92066513683931761;0.11267634450499292;-0.0043028848601426575;0.043351137385805878;-0.90534515973944396;0.22797606472753157;0.011049715756300538;0.039347598360368614;-0.90517471013818196;0.22790897941655222;0.010720846588463158
0.017227999999999997;0.044048062157200925;-0.90531800135433815;0.22789905426863305;0.011602758958395484;-0.079142423050389779;-0.92072621357134454;0.11266903655193916;-0.0042197405889495025;0.044048062157051669;-0.90531800135113405;0.22791836703098986;0.011210101196213679;0.040044585071587639;-0.90515073070741692;0.22785213564951809;0.010880924951470611
0.017231999999999997;0.044744760655803108;-0.90529034007900755;0.22784085211177624;0.011763001243632399;-0.078381676738056544;-0.9207866493362209;0.11266159316005936;-0.0041366333011274284;0.044744760655685993;-0.90529034007669251;0.22786044550280762;0.011370352124519407;0.040741348132389762;-0.90512624737117597;0.22779506804089805;0.011040870547522166
0.017235999999999998;0.045441232673329418;-0.9052621763386195;0.22778242661625184;0.01192310833104022;-0.077621138361310141;-0.920846444725271;0.11265401450920516;-0.004053563202996574;0.045441232673637783;-0.90526217634465966;0.22780230053201445;0.011530468286486508;0.041437887333148717;-0.90510126055610618;0.22773777697651434;0.011200683120178724
0.017239999999999998;0.046137478003034006;-0.90523351058080692;0.22772377817351064;0.012083079967491311;-0.076860808321440016;-0.92090560032958069;0.11264630077938192;-0.0039705305003162709;0.046137478002932983;-0.9052335105788879;0.22774393250805605;0.011690449428333822;0.042134202464373459;-0.90507577068451128;0.22768026284264462;0.011360362413949871
0.017243999999999999;0.046833496436528219;-0.90520434321413523;0.22766490717048207;0.012242915899959343;-0.076100687018886226;-0.92096411674001177;0.11263845215074195;-0.0038875353982938832;0.046833496436605462;-0.90520434321537335;0.22768534181990768;0.011850295297101377;0.042830293317380627;-0.90504977819055821;0.22762252602505331;0.011519908174157113
0.017247999999999999;0.047529287766933159;-0.90517467467148183;0.2276058139977957;0.012402615876928069;-0.075340774853221257;-0.92102199454720024;0.11263046880358689;-0.0038045781015799154;0.047529287767035217;-0.90517467467358637;0.22762652885554788;0.012010005640498481;0.043526159683229572;-0.90502328349188688;0.22756456690854177;0.011679320146841169
0.017251999999999997;0.048224851787442014;-0.90514450538016256;0.22754649904481319;0.012562179647548719;-0.074581072223139588;-0.92107923434154826;0.11262235091836702;-0.0037216588142709316;0.048224851787463746;-0.9051445053807009;0.22756749400483375;0.012169580207464991;0.044221801353431373;-0.90499628701413737;0.22750638587980676;0.011838598079187048
0.017255999999999997;0.048920188291784877;-0.90511383577206705;0.22748696270224555;0.012721606962081746;-0.073821579526465578;-0.9211358367132253;0.11261409867567389;-0.0036387777399079541;0.048920188291789637;-0.90511383577180538;0.22750823765661565;0.012329018747651289;0.044917218120360321;-0.90496878919044721;0.22744798332453403;0.011997741719130076
0.017259999999999998;0.04961529707336166;-0.90508266626516698;0.22742720535766126;0.012880897571118707;-0.073062297160181852;-0.92119180225218744;0.11260571225625053;-0.0035559350814794027;0.049615297073393516;-0.90508266626545297;0.22744876019971733;0.012488321011553795;0.045612409775849405;-0.90494079043773457;0.22738935962838819;0.012156750815464816
0.017263999999999998;0.050310177926342604;-0.9050509972873686;0.22736722740070567;0.013040051226490048;-0.072303225520383679;-0.92124713154813831;0.11259719184097877;-0.0034731310414205406;0.050310177926373552;-0.90505099728816041;0.2273890620220386;0.012647486750387757;0.046307376112511373;-0.90491229118072081;0.22733051517608804;0.012315625117674832
0.017267999999999999;0.051004830645573471;-0.9050188292729634;0.22730702922168705;0.013199067681015265;-0.071544365002320559;-0.92130182519056913;0.11258853761088509;-0.0033903658216134446;0.051004830645408089;-0.90501882927003074;0.22732914351278882;0.012806515716487653;0.047002116923352988;-0.90488329184776106;0.22727145035373303;0.012474364376369942
0.017271999999999999;0.051699255025106333;-0.90498616263455056;0.22724661120856571;0.013357946687974536;-0.070785716000369703;-0.92135588376872368;0.11257974974713462;-0.0033076396233889405;0.051699255025257282;-0.90498616263687293;0.22726900506068687;0.012965407662968335;0.047696632001545114;-0.90485379286297485;0.22721216554688434;0.012632968342903599
0.017275999999999996;0.052393450861001979;-0.90495299781635086;0.22718597375233612;0.013516688002066913;-0.070027278908058543;-0.92140930787163922;0.11257082843103708;-0.0032249526475249136;0.052393450860668829;-0.90495299781031402;0.22720864705490174;0.013124162343894765;0.048390921140407647;-0.90482379464619611;0.22715266114157479;0.012791436769640291
0.017279999999999997;0.053087417947351258;-0.90491933522123624;0.22712511724047929;0.013675291378222175;-0.069269054118047138;-0.92146209808808099;0.11256177384403665;-0.0031423050942506474;0.053087417947266569;-0.90491933521965739;0.22714806988360803;0.013282779514023462;0.049084984133866832;-0.90479329762501848;0.22709293752287477;0.012949769409561341
0.017283999999999997;0.053781156080336401;-0.90488517528339518;0.22706404206252964;0.013833756572617473;-0.068511042022152233;-0.92151425500662554;0.11255258616771732;-0.0030596971632425741;0.053781156080466311;-0.90488517528590484;0.22708727393494504;0.013441258928975105;0.049778820775937455;-0.90476230221864096;0.22703299507576505;0.013107966016575275
0.017287999999999998;0.054474665056579899;-0.90485051843861364;0.22700274860865485;0.01399208334242468;-0.067753243011320477;-0.9215657792155858;0.11254326558379947;-0.0029771290536296925;0.054474665056509872;-0.90485051843788356;0.22702625959795306;0.013599600345402852;0.050472430861089969;-0.90473080885409585;0.22697283418620132;0.013266026345571688
0.017291999999999998;0.055167944671293948;-0.90481536509377081;0.2269412372667817;0.014150271445256147;-0.066995657475653364;-0.92161667130306613;0.11253381227413881;-0.0028946009639903652;0.055167944671226474;-0.90481536509192595;0.22696502726020928;0.013757803520576322;0.051165814183692829;-0.90469881794612206;0.22691245523864217;0.013423950152053069
0.017295999999999999;0.055860994721752696;-0.90477971568430593;0.22687950842695467;0.014308320640001674;-0.066238285804400929;-0.92166693185691517;0.11252422642072533;-0.0028121130923541913;0.055860994721761488;-0.90477971568439253;0.22690357731253105;0.013915868213201409;0.051858970539367742;-0.90466632992929918;0.22685185862080745;0.013581737192981792
0.017299999999999999;0.056553815004544025;-0.90474357062891697;0.22681756247695425;0.014466230685983419;-0.065481128385957404;-0.92171656146476422;0.11251450820568179;-0.0027296656362025416;0.056553815004464311;-0.90474357062713917;0.22684191014010524;0.014073794181822426;0.052551899722804947;-0.9046333452136156;0.22679104471476949;0.013739387225161572
0.017303999999999996;0.057246405317041109;-0.90470693035454786;0.22675539980642642;0.014624001343746628;-0.064724185607863499;-0.92176556071399884;0.11250465781126331;-0.0026472587924704777;0.05724640531688524;-0.90470693035188476;0.22678002613406745;0.014231581186974178;0.053244601530011912;-0.90459986422916938;0.22673001390861955;0.013896900007316044
0.017307999999999997;0.05793876545639641;-0.90466979527909297;0.2266930208044573;0.014781632374596079;-0.063967457856824075;-0.92181393019178604;0.11249467541985438;-0.0025648927575448489;0.057938765456332808;-0.9046697952779682;0.2267179256814022;0.014389228989243573;0.053937075756773832;-0.9045658873934953;0.22666876658621568;0.014054275298315459
0.017311999999999998;0.058630895220092238;-0.9046321658201647;0.22663042585771079;0.014939123540222693;-0.063210945518677883;-0.92186167048504619;0.1124845612139715;-0.0024825677272667579;0.05863089522062475;-0.9046321658286175;0.2266556091703775;0.014546737350349581;0.054629322199230113;-0.90453141512806245;0.22660730313277072;0.014211512858076104
0.017315999999999998;0.059322794407842203;-0.9045940424266169;0.22656761535971043;0.0150964746045425;-0.062454648978436396;-0.92190878218045935;0.11247431537625793;-0.0024002838969302597;0.059322794407860188;-0.90459404242656394;0.2265930769892269;0.01470410603286604;0.05532134065405217;-0.90449644785383299;0.22654562393345115;0.014368612447405065
0.017319999999999999;0.060014462816233724;-0.90455542549193657;0.22650458969463036;0.015253685330472997;-0.061698568620248403;-0.92195526586448862;0.11246393808948416;-0.0023180414612848617;0.060014462816395567;-0.90455542549447565;0.22653032952707525;0.014861334800380065;0.056013130917891077;-0.90446098599184155;0.22648372937431741;0.014525573828116159
0.017323999999999999;0.060705900245231779;-0.90451631545774025;0.22644134925356196;0.015410755483181512;-0.060942704827435287;-0.92200112212335572;0.11245342953654902;-0.0022358406145365512;0.06070590024501165;-0.90451631545468703;0.22646736717020438;0.015018423416816539;0.056704692788017985;-0.90442502996252083;0.22642161983858514;0.014682396762336064
0.017327999999999996;0.061397106493133159;-0.90447671273526753;0.22637789442445952;0.015567684828058495;-0.060187057982463169;-0.92204635154302794;0.11244278990047211;-0.002153681550344766;0.061397106493016641;-0.90447671273321606;0.22640419030807746;0.015175371647554335;0.057396026062108273;-0.90438858019025581;0.22635929571268115;0.014839081013667236
0.017331999999999997;0.062088081359141303;-0.9044366177442732;0.2263142255951108;0.015724473131321012;-0.059431628466962962;-0.92209095470926072;0.11243201936440095;-0.0020715644618267857;0.062088081359142268;-0.90443661774391648;0.22634079932780496;0.015332179258379422;0.058087130537375645;-0.90435163708704613;0.22629675738065597;0.014995626346124578
