delta;qdRe1;qdRe2;qdRe3;qdRe4;qdIm1;qdIm2;qdIm3;qdIm4
2.7443433032283624e-06;0.00027795811228593958;1.2343073823439334e-05;-1.2343073823447284e-05;-0.00027795811228594017;1.3906763116876656e-06;3.0878830611620138e-08;-3.0878830722273617e-08;-1.3906763117999127e-06
2.782559402207126e-06;0.00027796002317280808;1.2428675172260623e-05;-1.2428675172258062e-05;-0.00027796002317280677;1.3906764509178407e-06;3.1093194376298756e-08;-3.1093194488204189e-08;-1.3906764510292035e-06
2.8213076759394709e-06;0.00027796196064288221;1.2514869582958799e-05;-1.2514869582963705e-05;-0.0002779619606428821;1.3906765922890075e-06;3.1309047567989369e-08;-3.1309047575425928e-08;-1.3906765922899081e-06
2.8605955351757447e-06;0.0002779639250655992;1.2601661151733897e-05;-1.2601661151726428e-05;-0.00027796392506560018;1.3906767357136387e-06;3.1526401715447437e-08;-3.1526401835550244e-08;-1.3906767358249574e-06
2.9004304938639916e-06;0.00027796591681551611;1.2689054002932485e-05;-1.2689054002919834e-05;-0.00027796591681551627;1.3906768813305878e-06;3.1745265926537001e-08;-3.1745266036001027e-08;-1.3906768814433747e-06
2.9408201705870607e-06;0.00027796793627238607;1.2777052289186557e-05;-1.2777052289190582e-05;-0.00027796793627238656;1.3906770291668679e-06;3.1965650469173837e-08;-3.1965650474194128e-08;-1.3906770291671256e-06
2.9817722900196732e-06;0.00027796998382122645;1.2865660191400452e-05;-1.2865660191392627e-05;-0.00027796998382122651;1.3906771792480187e-06;3.218756826065697e-08;-3.2187568264620542e-08;-1.3906771792470382e-06
3.0232946844057763e-06;0.00027797205985239526;1.2954881919136988e-05;-1.295488191912807e-05;-0.00027797205985239634;1.3906773314890793e-06;3.2411026160844489e-08;-3.2411026159632061e-08;-1.3906773314884014e-06
3.06539529505653e-06;0.00027797416476166417;1.3044721710750565e-05;-1.3044721710751765e-05;-0.00027797416476166401;1.3906774860296721e-06;3.2636038173143389e-08;-3.2636038283236436e-08;-1.3906774861417054e-06
3.1080821738690638e-06;0.00027797629895028806;1.3135183833498665e-05;-1.3135183833502009e-05;-0.00027797629895028899;1.3906776430098143e-06;3.286261407148662e-08;-3.2862614066530088e-08;-1.3906776430095513e-06
3.1513634848664763e-06;0.00027797846282508903;1.3226272583940998e-05;-1.3226272583943776e-05;-0.00027797846282508806;1.3906778023457343e-06;3.3090765467195087e-08;-3.3090765463474958e-08;-1.3906778023459567e-06
3.1952475057592136e-06;0.00027798065679852479;1.3317992287798502e-05;-1.3317992287800249e-05;-0.00027798065679852403;1.3906779639544133e-06;3.332049977090295e-08;-3.3320499754248416e-08;-1.3906779639559579e-06
3.2397426295281954e-06;0.00027798288128877234;1.3410347300647998e-05;-1.341034730064998e-05;-0.00027798288128877332;1.3906781282026212e-06;3.3551833646177214e-08;-3.3551833542955065e-08;-1.3906781280909639e-06
3.284857366030047e-06;0.00027798513671980986;1.3503342007290617e-05;-1.3503342007283941e-05;-0.00027798513671980943;1.3906782947807091e-06;3.3784774473777902e-08;-3.3784774461843433e-08;-1.3906782947791269e-06
3.3306003436245885e-06;0.00027798742352148285;1.3596980823204293e-05;-1.3596980823194871e-05;-0.00027798742352148209;1.390678463943118e-06;3.4019335457142278e-08;-3.4019335579034865e-08;-1.3906784640539654e-06
3.376980310825088e-06;0.00027798974212960172;1.3691268193202704e-05;-1.3691268193204967e-05;-0.00027798974212960161;1.3906786357200585e-06;3.4255525671979603e-08;-3.4255525664854335e-08;-1.390678635720255e-06
3.4240061379714255e-06;0.00027799209298601284;1.3786208593198537e-05;-1.3786208593196315e-05;-0.0002779920929860129;1.3906788101450401e-06;3.4493358374720545e-08;-3.449335827349666e-08;-1.3906788100335496e-06
3.4716868189265596e-06;0.00027799447653868698;1.3881806529045706e-05;-1.3881806529035697e-05;-0.00027799447653868839;1.3906789871332442e-06;3.4732843707590251e-08;-3.4732843595416639e-08;-1.3906789870246465e-06
3.5200314727966823e-06;0.00027799689324180282;1.3978066537731378e-05;-1.3978066537730303e-05;-0.00027799689324180206;1.3906791668326441e-06;3.4973996102934486e-08;-3.4973996216109205e-08;-1.3906791669459707e-06
3.5690493456752295e-06;0.00027799934355582812;1.4074993186933426e-05;-1.4074993186938639e-05;-0.00027799934355582731;1.3906793492752707e-06;3.5216822739631763e-08;-3.5216822843208229e-08;-1.3906793493864491e-06
3.6187498124112769e-06;0.00027800182794761595;1.4172591075748992e-05;-1.4172591075742868e-05;-0.00027800182794761639;1.3906795346016242e-06;3.5461338514024106e-08;-3.5461338518293827e-08;-1.3906795346036698e-06
3.6691423784024939e-06;0.00027800434689048416;1.4270864834279368e-05;-1.4270864834273306e-05;-0.00027800434689048296;1.3906797226237699e-06;3.5707552449304478e-08;-3.5707552444221712e-08;-1.3906797226237386e-06
3.7202366814130657e-06;0.00027800690086430608;1.4369819124461117e-05;-1.4369819124463448e-05;-0.0002780069008643063;1.3906799135996635e-06;3.5955480602817858e-08;-3.5955480703293462e-08;-1.3906799137109164e-06
3.7720424934170015e-06;0.00027800949035560395;1.4469458639953786e-05;-1.4469458639952441e-05;-0.00027800949035560385;1.3906801075597363e-06;3.6205130581825556e-08;-3.6205130460785487e-08;-1.3906801074488305e-06
3.8245697224669987e-06;0.00027801211585763578;1.4569788106374298e-05;-1.4569788106373743e-05;-0.00027801211585763854;1.3906803044315114e-06;3.6456517047123005e-08;-3.6456516939834848e-08;-1.3906803043193973e-06
3.8778284145894531e-06;0.00027801477787050031;1.4670812281341449e-05;-1.467081228133747e-05;-0.00027801477787050042;1.3906805042467569e-06;3.670965192823478e-08;-3.6709652042105277e-08;-1.3906805043572934e-06
3.9318287557057703e-06;0.00027801747690120839;1.4772535955116481e-05;-1.4772535955119434e-05;-0.00027801747690120736;1.3906807072671515e-06;3.6964545284746408e-08;-3.6964545172682672e-08;-1.3906807071566595e-06
3.986581073580439e-06;0.00027802021346380037;1.4874963950404658e-05;-1.4874963950401173e-05;-0.00027802021346379967;1.3906809133041469e-06;3.7221212906809936e-08;-3.7221213001300763e-08;-1.3906809134148361e-06
4.0420958397963097e-06;0.00027802298807943213;1.4978101122992412e-05;-1.4978101122993464e-05;-0.0002780229880794317;1.3906811226178911e-06;3.7479665158119999e-08;-3.747966527019515e-08;-1.3906811227294904e-06
4.0983836717572612e-06;0.00027802580127647545;1.5081952361239329e-05;-1.5081952361240596e-05;-0.00027802580127647523;1.3906813351317524e-06;3.7739913075103739e-08;-3.7739913065589084e-08;-1.3906813351308802e-06
4.1554553347188712e-06;0.00027802865359061727;1.5186522587236209e-05;-1.5186522587240351e-05;-0.00027802865359061668;1.3906815509982921e-06;3.8001971959519054e-08;-3.8001971847978804e-08;-1.3906815508884999e-06
4.2133217438472893e-06;0.00027803154556495897;1.5291816756204448e-05;-1.5291816756199965e-05;-0.00027803154556495875;1.3906817700330872e-06;3.8265852062673469e-08;-3.8265852060392965e-08;-1.3906817700316968e-06
4.271993966306777e-06;0.00027803447775011912;1.5397839857281778e-05;-1.5397839857278838e-05;-0.00027803447775011993;1.3906819926071265e-06;3.8531568942362196e-08;-3.8531568951494343e-08;-1.390681992607578e-06
4.3314832233764026e-06;0.000278037450704341;1.5504596913191875e-05;-1.5504596913190127e-05;-0.00027803745070434062;1.390682218649014e-06;3.8799134025589784e-08;-3.8799134019006392e-08;-1.3906822186474738e-06
4.3918008925960862e-06;0.00027804046499358879;1.5612092981190397e-05;-1.5612092981190908e-05;-0.00027804046499358803;1.3906824480873411e-06;3.9068558903884457e-08;-3.906855901403869e-08;-1.3906824481989184e-06
4.4529585099426508e-06;0.00027804352119165961;1.5720333152616499e-05;-1.5720333152619243e-05;-0.00027804352119165923;1.3906826811864223e-06;3.9339856416843893e-08;-3.9339856313302235e-08;-1.3906826810777831e-06
4.5149677720361018e-06;0.00027804661988029483;1.5829322553393599e-05;-1.5829322553383746e-05;-0.00027804661988029515;1.390682917877101e-06;3.9613042101753604e-08;-3.9613041996284482e-08;-1.3906829177670968e-06
4.5778405383766162e-06;0.00027804976164927815;1.5939066344301334e-05;-1.5939066344305034e-05;-0.00027804976164927928;1.3906831583109104e-06;3.9888129668584021e-08;-3.9888129684252092e-08;-1.3906831583100462e-06
4.641588833612782e-06;0.00027805294709656072;1.6049569721023815e-05;-1.6049569721021202e-05;-0.00027805294709656029;1.3906834024201176e-06;4.0165127575463193e-08;-4.0165127458404867e-08;-1.3906834023082741e-06
4.7062248498412814e-06;0.00027805617682835615;1.6160837914729945e-05;-1.6160837914730325e-05;-0.0002780561768283555;1.3906836503565933e-06;4.044405509195153e-08;-4.0444055210850392e-08;-1.3906836504676215e-06
4.7717609489387412e-06;0.00027805945145926959;1.6272876191836072e-05;-1.6272876191833155e-05;-0.00027805945145926943;1.3906839022789385e-06;4.0724921128014631e-08;-4.072492102696411e-08;-1.3906839021689303e-06
4.838209664925957e-06;0.0002780627716124059;1.6385689854497514e-05;-1.6385689854496894e-05;-0.00027806277161240487;1.3906841580067578e-06;4.1007742063929649e-08;-4.1007742181401724e-08;-1.3906841581184976e-06
