delta;qdRe1;qdRe2;qdIm1;qdIm2
1.4032890847858732e-05;7.321325800790331e-06;-7.3213258007889833e-06;9.9925332328075901e-09;-9.9925332334383385e-09
1.4228304572143519e-05;7.3952999183577063e-06;-7.3952999183582721e-06;1.0099284917969159e-08;-1.0099284915009091e-08
1.4426439512181588e-05;7.4700052740080976e-06;-7.4700052740081983e-06;1.0207166094373693e-08;-1.0207166092539602e-08
1.4627333562011299e-05;7.5454488881947474e-06;-7.5454488881940232e-06;1.0316188712322356e-08;-1.0316188712078395e-08
1.4831025143361029e-05;7.6216378456820792e-06;-7.6216378456814558e-06;1.0426364834547889e-08;-1.0426364836564704e-08
1.5037553212997385e-05;7.69857929610322e-06;-7.6985792961031201e-06;1.0537706666662938e-08;-1.0537706665974596e-08
1.524695727017573e-05;7.7762804544800805e-06;-7.7762804544796943e-06;1.065022654241029e-08;-1.0650226541124602e-08
1.5459277364194785e-05;7.8547486017880193e-06;-7.8547486017876822e-06;1.0763936916278312e-08;-1.0763936917437031e-08
1.5674554102055949e-05;7.9339910854855815e-06;-7.9339910854856357e-06;1.0878850395604918e-08;-1.0878850394057974e-08
1.5892828656229765e-05;8.0140153200913884e-06;-8.014015320090394e-06;1.0994979709124516e-08;-1.0994979708957784e-08
1.61141427725302e-05;8.0948287877068739e-06;-8.094828787708424e-06;1.1112337716373877e-08;-1.1112337715034877e-08
1.6338538778098604e-05;8.1764390386148211e-06;-8.1764390386144518e-06;1.1230937435232841e-08;-1.1230937436618443e-08
1.6566059589499151e-05;8.2588536918020297e-06;-8.2588536918011082e-06;1.1350792007473627e-08;-1.1350792006643268e-08
1.6796748720926532e-05;8.3420804355584696e-06;-8.3420804355575395e-06;1.1471914718548274e-08;-1.1471914717435168e-08
1.7030650292528425e-05;8.4261270280200509e-06;-8.4261270280202406e-06;1.1594319005537591e-08;-1.1594319006734203e-08
1.7267809038843561e-05;8.511001297755823e-06;-8.5110012977554639e-06;1.1718018430889874e-08;-1.1718018432319767e-08
1.7508270317357232e-05;8.5967111443315126e-06;-8.5967111443316837e-06;1.1843026729661222e-08;-1.1843026730456012e-08
1.775208011717636e-05;8.683264538909446e-06;-8.683264538910603e-06;1.1969357771340123e-08;-1.1969357769249117e-08
1.7999285067824765e-05;8.770669524801569e-06;-8.7706695248003662e-06;1.2097025570896149e-08;-1.2097025569332461e-08
1.8249932448161504e-05;8.8589342180672962e-06;-8.8589342180672945e-06;1.2226044301975793e-08;-1.2226044301688857e-08
1.8504070195423023e-05;8.948066808108077e-06;-8.948066808107501e-06;1.235642829018325e-08;-1.2356428289552013e-08
1.8761746914391195e-05;9.0380755582414048e-06;-9.0380755582411829e-06;1.2488192019951207e-08;-1.2488192020833648e-08
1.9023011886689458e-05;9.1289688063081361e-06;-9.1289688063098674e-06;1.2621350135675223e-08;-1.2621350135838836e-08
1.9287915080207779e-05;9.2207549652603516e-06;-9.2207549652590302e-06;1.2755917427742419e-08;-1.2755917426528827e-08
1.9556507158659511e-05;9.3134425237631359e-06;-9.3134425237623905e-06;1.2891908856287895e-08;-1.2891908855436463e-08
1.9828839491270713e-05;9.4070400467971941e-06;-9.4070400467961217e-06;1.3029339552727933e-08;-1.302933955409776e-08
2.0104964162604969e-05;9.5015561762594336e-06;-9.5015561762601112e-06;1.3168224804978467e-08;-1.316822480560236e-08
2.0384933982524641e-05;9.5969996315729092e-06;-9.5969996315722095e-06;1.3308580068584429e-08;-1.3308580068723802e-08
2.066880249629082e-05;9.6933792103024924e-06;-9.6933792103012794e-06;1.3450420970535274e-08;-1.3450420971135536e-08
2.0956623994804352e-05;9.7907037887525683e-06;-9.7907037887528292e-06;1.3593763309395458e-08;-1.3593763310415974e-08
2.1248453524988828e-05;9.8889823226013601e-06;-9.8889823226022732e-06;1.3738623060968077e-08;-1.3738623062358341e-08
2.1544346900318823e-05;9.9882238474980242e-06;-9.9882238474983342e-06;1.3885016370060085e-08;-1.3885016372210181e-08
2.1844360711494283e-05;1.008843747970038e-05;-1.0088437479701012e-05;1.4032959572881179e-08;-1.403295957098234e-08
2.2148552337263592e-05;1.0189632416683656e-05;-1.0189632416683895e-05;1.4182469164089227e-08;-1.418246916402845e-08
